seed,horizon_frames,method,field,band,n_low,n_high,power_ratio,truth_power_weighted_transfer_coherence
1701,4,autoregressive_lead2,Pe,k1_3,5,15,0.2648495621931501,0.07800299768854267
1701,4,autoregressive_lead2,Pi,k1_3,5,15,0.23511883647040538,0.07810722084756908
1701,4,autoregressive_lead2,phi,k1_3,5,15,0.33447755111134636,0.16074067470909542
1701,4,autoregressive_lead2,Vi,k1_3,5,15,0.23345971869788132,0.14246115180078633
1701,4,autoregressive_lead2,Ne,k4_5,20,25,0.7386109666564044,0.34005138347587116
1701,4,autoregressive_lead2,Pe,k4_5,20,25,0.645348920421811,0.3584314881152749
1701,4,autoregressive_lead2,Pi,k4_5,20,25,0.7048558326367899,0.3518913800060658
1701,4,autoregressive_lead2,phi,k4_5,20,25,0.7414494964906667,0.3302698824713086
1701,4,autoregressive_lead2,Vi,k4_5,20,25,0.3080570066512464,0.03949558318671755
1701,4,autoregressive_lead2,Ne,k6_7,30,35,0.20924335174789924,0.0012118696629311216
1701,4,autoregressive_lead2,Pe,k6_7,30,35,0.1776341570035108,0.002348724149410484
1701,4,autoregressive_lead2,Pi,k6_7,30,35,0.17212728341358963,0.0020751287217817987
1701,4,autoregressive_lead2,phi,k6_7,30,35,0.26696733900674097,0.00045071037051903104
1701,4,autoregressive_lead2,Vi,k6_7,30,35,0.1875306369753004,5.6762047887818016e-05
1702,4,autoregressive_lead2,Ne,k1_3,5,15,0.24648730269029745,0.13603657347665318
1702,4,autoregressive_lead2,Pe,k1_3,5,15,0.2550622386134924,0.07494513741816976
1702,4,autoregressive_lead2,Pi,k1_3,5,15,0.21172725419595426,0.07249572768502714
1702,4,autoregressive_lead2,phi,k1_3,5,15,0.324627432078171,0.16803106133786808
1702,4,autoregressive_lead2,Vi,k1_3,5,15,0.19674031577496787,0.1411087264520766
1702,4,autoregressive_lead2,Ne,k4_5,20,25,0.6951778589790206,0.33027318286421375
1702,4,autoregressive_lead2,Pe,k4_5,20,25,0.6293618683234424,0.3547194058820133
1702,4,autoregressive_lead2,Pi,k4_5,20,25,0.6648612639509154,0.3451575217906921
1702,4,autoregressive_lead2,phi,k4_5,20,25,0.7208781415977367,0.32925766245071536
1702,4,autoregressive_lead2,Vi,k4_5,20,25,0.22232941036486645,0.028036170031448784
1702,4,autoregressive_lead2,Ne,k6_7,30,35,0.2083535341496479,0.0015495433052110702
1702,4,autoregressive_lead2,Pe,k6_7,30,35,0.18488992506305355,0.002115442166582119
1702,4,autoregressive_lead2,Pi,k6_7,30,35,0.16854494577290205,0.0013693167574016932
1702,4,autoregressive_lead2,phi,k6_7,30,35,0.2630474765170358,0.00039675165565914214
1702,4,autoregressive_lead2,Vi,k6_7,30,35,0.15949244890207986,6.708459930386272e-05
1703,4,autoregressive_lead2,Ne,k1_3,5,15,0.2980700945127592,0.13587955147156008
1703,4,autoregressive_lead2,Pe,k1_3,5,15,0.292370238810332,0.07132835222531017
1703,4,autoregressive_lead2,Pi,k1_3,5,15,0.24282775206694504,0.07037884206859774
1703,4,autoregressive_lead2,phi,k1_3,5,15,0.3285902840369068,0.17039494538967773
1703,4,autoregressive_lead2,Vi,k1_3,5,15,0.21644628878417838,0.12955437867132313
1703,4,autoregressive_lead2,Ne,k4_5,20,25,0.9763530049015996,0.350172455875526
1703,4,autoregressive_lead2,Pe,k4_5,20,25,0.9120988038425583,0.3729588917918759
1703,4,autoregressive_lead2,Pi,k4_5,20,25,0.9472493650621756,0.36604578875632643
1703,4,autoregressive_lead2,phi,k4_5,20,25,1.0527736145220448,0.364112164914177
