seed,horizon_frames,method,pair,band,n_low,n_high,phase_error_degrees,absolute_coherence_change
1703,4,autoregressive_lead2,Ne-phi,k4_5,20,25,2.9121198142108042,0.07632754858603524
1703,4,autoregressive_lead2,Pe-phi,k4_5,20,25,5.121453260126556,0.1661602831276446
1703,4,autoregressive_lead2,Pi-phi,k4_5,20,25,2.6329914394961476,0.10077198512689589
1703,4,autoregressive_lead2,Ne-phi,k6_7,30,35,5.555782926284795,0.30995587323674634
1703,4,autoregressive_lead2,Pe-phi,k6_7,30,35,3.7842352211197765,0.204170649387642
1703,4,autoregressive_lead2,Pi-phi,k6_7,30,35,3.582458435496917,0.2507523039008867
1701,4,direct,Ne-phi,k1_3,5,15,6.544413646569764,0.2547074680254873
1701,4,direct,Pe-phi,k1_3,5,15,8.677372834317671,0.2573423744663155
1701,4,direct,Pi-phi,k1_3,5,15,3.101147764310426,0.26445156814925086
1701,4,direct,Ne-phi,k4_5,20,25,3.8130749036783107,0.2566016223006575
1701,4,direct,Pe-phi,k4_5,20,25,4.59577186378125,0.2032686329097782
1701,4,direct,Pi-phi,k4_5,20,25,0.3575712696011837,0.23533763222065882
1701,4,direct,Ne-phi,k6_7,30,35,13.995092891664337,0.4405235216465586
1701,4,direct,Pe-phi,k6_7,30,35,1.5489528004686681,0.3515327819057122
1701,4,direct,Pi-phi,k6_7,30,35,4.917460151910263,0.42143512994621374
1702,4,direct,Ne-phi,k1_3,5,15,2.379940985135062,0.2809608042855291
1702,4,direct,Pe-phi,k1_3,5,15,3.2433779909705964,0.2880558974694305
1702,4,direct,Pi-phi,k1_3,5,15,1.2017892793411484,0.27240842430317613
1702,4,direct,Ne-phi,k4_5,20,25,8.720860899056584,0.2551934421019831
1702,4,direct,Pe-phi,k4_5,20,25,9.292424269934466,0.20520703872121332
1702,4,direct,Pi-phi,k4_5,20,25,3.7430210229771803,0.21176543133760523
1702,4,direct,Ne-phi,k6_7,30,35,18.377979965287047,0.4407872273163544
1702,4,direct,Pe-phi,k6_7,30,35,7.031639848111854,0.3667091692693871
1702,4,direct,Pi-phi,k6_7,30,35,2.2968408151632382,0.36107210087920394
1703,4,direct,Ne-phi,k1_3,5,15,4.343989266415416,0.21224381891936364
1703,4,direct,Pe-phi,k1_3,5,15,4.8089171921851825,0.2302742196846971
1703,4,direct,Pi-phi,k1_3,5,15,2.49427226792074,0.21870420258513845
1703,4,direct,Ne-phi,k4_5,20,25,2.650449695124728,0.2533885694034962
1703,4,direct,Pe-phi,k4_5,20,25,5.018872815661839,0.14956812681613635
1703,4,direct,Pi-phi,k4_5,20,25,1.814114303882577,0.18444051622341737
1703,4,direct,Ne-phi,k6_7,30,35,12.931281501035036,0.43786325132258597
1703,4,direct,Pe-phi,k6_7,30,35,12.117574389518401,0.32239203681897627
1703,4,direct,Pi-phi,k6_7,30,35,5.313931846245737,0.36473270245189426
baseline,8,persistence,Ne-phi,k1_3,5,15,0.4638504776957835,0.005997961069422949
baseline,8,persistence,Pe-phi,k1_3,5,15,0.6157607868258599,0.0043380589985916795
baseline,8,persistence,Pi-phi,k1_3,5,15,0.5181176857716715,0.004685629869179736
baseline,8,persistence,Ne-phi,k4_5,20,25,0.16402655541996852,0.006545808788617483
baseline,8,persistence,Pe-phi,k4_5,20,25,0.36166233773934137,0.007303726270317054
baseline,8,persistence,Pi-phi,k4_5,20,25,0.32970012753197764,0.005831296530333832
baseline,8,persistence,Ne-phi,k6_7,30,35,0.1360114878777627,0.0001915872448663329
baseline,8,persistence,Pe-phi,k6_7,30,35,0.07547483015702852,0.0004142916764429878
baseline,8,persistence,Pi-phi,k6_7,30,35,0.16262713556846814,0.0012136458116484142
1701,8,autoregressive_lead1,Ne-phi,k1_3,5,15,7.011737872060207,0.08200621691582226
1701,8,autoregressive_lead1,Pe-phi,k1_3,5,15,7.704586027564407,0.040245185459909905
1701,8,autoregressive_lead1,Pi-phi,k1_3,5,15,3.567635004949926,0.029346681870744924
1701,8,autoregressive_lead1,Ne-phi,k4_5,20,25,2.524831111869891,0.07187442025467414
1701,8,autoregressive_lead1,Pe-phi,k4_5,20,25,5.371710415524903,0.15013117158061018
1701,8,autoregressive_lead1,Pi-phi,k4_5,20,25,3.8550942002165707,0.06558750814808072
1701,8,autoregressive_lead1,Ne-phi,k6_7,30,35,19.757569432417082,0.32394801551798985
1701,8,autoregressive_lead1,Pe-phi,k6_7,30,35,17.051053019728787,0.15338544370410048
1701,8,autoregressive_lead1,Pi-phi,k6_7,30,35,18.060024039332117,0.2808572197429794
1702,8,autoregressive_lead1,Ne-phi,k1_3,5,15,1.742101803394952,0.12187348463523369
1702,8,autoregressive_lead1,Pe-phi,k1_3,5,15,7.323485980510962,0.10289819467526277
1702,8,autoregressive_lead1,Pi-phi,k1_3,5,15,2.1826114601282223,0.09095676982330549
1702,8,autoregressive_lead1,Ne-phi,k4_5,20,25,1.399603551932954,0.06595348184129084
1702,8,autoregressive_lead1,Pe-phi,k4_5,20,25,3.558700837513756,0.10595250291411304
1702,8,autoregressive_lead1,Pi-phi,k4_5,20,25,2.6186723841708557,0.05482961565929756
1702,8,autoregressive_lead1,Ne-phi,k6_7,30,35,8.294193926119746,0.2714308825529647
1702,8,autoregressive_lead1,Pe-phi,k6_7,30,35,5.159331186139289,0.23409409548566
1702,8,autoregressive_lead1,Pi-phi,k6_7,30,35,7.493430917534983,0.25894997691271016
1703,8,autoregressive_lead1,Ne-phi,k1_3,5,15,4.351533058771505,0.05338446138466268
1703,8,autoregressive_lead1,Pe-phi,k1_3,5,15,5.127789079694242,0.0237417420100326
1703,8,autoregressive_lead1,Pi-phi,k1_3,5,15,1.4909223654429662,0.018645398945258
1703,8,autoregressive_lead1,Ne-phi,k4_5,20,25,0.7861620602201366,0.07095764428872256
1703,8,autoregressive_lead1,Pe-phi,k4_5,20,25,2.621732783185955,0.15337189594665107
1703,8,autoregressive_lead1,Pi-phi,k4_5,20,25,1.7338693569955854,0.06979914349097814
1703,8,autoregressive_lead1,Ne-phi,k6_7,30,35,3.9418679661070604,0.27442755511890515
1703,8,autoregressive_lead1,Pe-phi,k6_7,30,35,6.418424723318359,0.12713259835212176
1703,8,autoregressive_lead1,Pi-phi,k6_7,30,35,11.670346077032255,0.2047271325073503
1701,8,autoregressive_lead2,Ne-phi,k1_3,5,15,4.959215137944357,0.23344744379315396
1701,8,autoregressive_lead2,Pe-phi,k1_3,5,15,6.217291837356059,0.19619417384518698
1701,8,autoregressive_lead2,Pi-phi,k1_3,5,15,5.4209622521350385,0.21875213439488517
1701,8,autoregressive_lead2,Ne-phi,k4_5,20,25,3.274980612965991,0.04347526428522726
1701,8,autoregressive_lead2,Pe-phi,k4_5,20,25,6.362806131915569,0.1295791188990988
1701,8,autoregressive_lead2,Pi-phi,k4_5,20,25,4.794348513597998,0.0711014360657254
1701,8,autoregressive_lead2,Ne-phi,k6_7,30,35,15.708055874056438,0.2264752966648954
1701,8,autoregressive_lead2,Pe-phi,k6_7,30,35,13.870144240938696,0.1632915158106516
1701,8,autoregressive_lead2,Pi-phi,k6_7,30,35,9.487949833565526,0.27067299481651536
1702,8,autoregressive_lead2,Ne-phi,k1_3,5,15,4.124936793499258,0.3081981521213215
