seed,horizon_frames,method,quantity,reduction,relative_l2,normalized_bias,rms_ratio,pearson_correlation,weighted_sign_disagreement
1703,4,autoregressive_lead1,particle,separatrix,0.33886380071771594,-0.1724916428287524,0.8214445997992361,0.5293926813516439,0.0
1703,4,autoregressive_lead1,electron_internal_energy,strict_faces,1.031226575987171,-0.0035157556246996,0.946262301985853,0.4392413784590745,0.29727918622239435
1703,4,autoregressive_lead1,electron_internal_energy,separatrix,0.2835778138313114,-0.1451702303994891,0.844252074281292,0.6849434666925898,0.0
1703,4,autoregressive_lead1,ion_internal_energy,strict_faces,1.033115567150754,-0.005132529861071839,0.957098584886694,0.44310807035404937,0.29821029318043396
1703,4,autoregressive_lead1,ion_internal_energy,separatrix,0.2981825264785736,-0.10730939713517904,0.8930216379456272,0.6169772675530422,0.0
1703,4,autoregressive_lead1,total_internal_energy,strict_faces,1.0318964653200466,-0.004369299759484541,0.9521472092012547,0.4417208908279769,0.2977622958415384
1703,4,autoregressive_lead1,total_internal_energy,separatrix,0.28034096528571084,-0.12818571748639607,0.8657061532416419,0.6707254947857979,0.0
1701,4,autoregressive_lead2,particle,strict_faces,1.0162231036026845,-0.009377104381534123,0.7524135789138282,0.3543980186717644,0.3486430202974014
1701,4,autoregressive_lead2,particle,separatrix,0.6668256647514896,-0.5971436888390518,0.3875548767812827,0.4012331700591819,0.0
1701,4,autoregressive_lead2,electron_internal_energy,strict_faces,1.030046086579471,-0.016383719651132656,0.7663148708528228,0.34314393208626964,0.3445458090034298
1701,4,autoregressive_lead2,electron_internal_energy,separatrix,0.6275437609550345,-0.5640511585907253,0.4203797910902531,0.5454294088594381,0.0
1701,4,autoregressive_lead2,ion_internal_energy,strict_faces,1.021202410661886,-0.015395752013083812,0.7587371435027301,0.3509689559988233,0.3457207402691245
1701,4,autoregressive_lead2,ion_internal_energy,separatrix,0.608557980405581,-0.5344688517142479,0.4591177596643737,0.4763072085325939,0.0
1701,4,autoregressive_lead2,total_internal_energy,strict_faces,1.0253041495993078,-0.015915701145996382,0.7629322620263065,0.34769346104300025,0.3451677211729718
1701,4,autoregressive_lead2,total_internal_energy,separatrix,0.6161056757500759,-0.5513173610597493,0.4363108604556296,0.5303538947833822,0.0
1702,4,autoregressive_lead2,particle,strict_faces,1.0323430774492037,-0.008081170630683875,0.7437102340802836,0.3275633550646844,0.3600360406874949
1702,4,autoregressive_lead2,particle,separatrix,0.6387630377642064,-0.55954332616414,0.4326790674438397,0.367094348892513,0.0
1702,4,autoregressive_lead2,electron_internal_energy,strict_faces,1.0434852622457806,-0.01581397475637307,0.7510453486523445,0.316112399282376,0.35705532523995726
1702,4,autoregressive_lead2,electron_internal_energy,separatrix,0.6584513553256011,-0.5876807194079655,0.40431327193343963,0.44584038649852437,0.0
1702,4,autoregressive_lead2,ion_internal_energy,strict_faces,1.0369591443938813,-0.01425833178507359,0.7478612449930894,0.3233941475092345,0.3577033115503073
1702,4,autoregressive_lead2,ion_internal_energy,separatrix,0.6126196401279257,-0.5340919212668226,0.45599138031440906,0.42897255006957413,0.0
1702,4,autoregressive_lead2,total_internal_energy,strict_faces,1.0399601899086994,-0.015048184260046601,0.7498171339828218,0.32032364045176714,0.3573984644274156
1702,4,autoregressive_lead2,total_internal_energy,separatrix,0.6350236601376147,-0.5640959952005979,0.4259365738596278,0.4539134125479346,0.0
1703,4,autoregressive_lead2,particle,strict_faces,1.053555862812711,-0.004434409702514391,0.8643381364519493,0.3684235366083739,0.34367694851151237
1703,4,autoregressive_lead2,particle,separatrix,0.43553652911747187,-0.2667483124361396,0.7568473800813432,0.4447464306680148,0.0
1703,4,autoregressive_lead2,electron_internal_energy,strict_faces,1.0616242107883853,-0.010302411600267349,0.8548586927238673,0.35278979483107353,0.34085212052553704
1703,4,autoregressive_lead2,electron_internal_energy,separatrix,0.4208712641364384,-0.2852655930800689,0.7478255534263756,0.5891455530425133,0.0
1703,4,autoregressive_lead2,ion_internal_energy,strict_faces,1.0578289274456674,-0.010247408038677134,0.8625357586476559,0.3620414955935497,0.34130633006925154
1703,4,autoregressive_lead2,ion_internal_energy,separatrix,0.42297792219784663,-0.2429944471031807,0.7978498268020346,0.5256620486334274,0.0
1703,4,autoregressive_lead2,total_internal_energy,strict_faces,1.0594603356021002,-0.010303494191207924,0.8593154093098249,0.35812089462531815,0.3410875274499704
1703,4,autoregressive_lead2,total_internal_energy,separatrix,0.41523340916039575,-0.26644937726467127,0.769282110695168,0.5714240147933598,0.0
1701,4,direct,particle,strict_faces,1.0676769096291125,-0.011566980113720524,0.5749179626607142,0.16567668705203956,0.4240726846425476
1701,4,direct,particle,separatrix,0.827918443473891,-0.757607897791442,0.20953756637018528,-0.0028086031794170474,0.0
1701,4,direct,electron_internal_energy,strict_faces,1.0807169444674076,-0.021947881000422016,0.6053822902747903,0.16381811318215847,0.42058634803427186
1701,4,direct,electron_internal_energy,separatrix,0.8420720557660398,-0.7721589817579614,0.18998768288562456,0.022811923710362572,0.0
1701,4,direct,ion_internal_energy,strict_faces,1.0731233365660802,-0.01920949926301826,0.5898608098331248,0.16627403086301182,0.42211659641068827
1701,4,direct,ion_internal_energy,separatrix,0.8110404168517045,-0.7383238571789749,0.22680090793495622,0.03776127353781973,0.0
1701,4,direct,total_internal_energy,strict_faces,1.0767450634040232,-0.020582847539117974,0.5977333984305458,0.1653872521618565,0.4214032130829237
1701,4,direct,total_internal_energy,separatrix,0.8271129229795755,-0.7577458935108244,0.20526960735945435,0.03205081951339473,0.0
1702,4,direct,particle,strict_faces,1.0718026579171267,-0.01221894323567265,0.5874731441815643,0.16706093540179995,0.4237384932639754
1702,4,direct,particle,separatrix,0.8815063142895257,-0.8131824221991866,0.14957517354564318,-0.18711757785822428,0.0
1702,4,direct,electron_internal_energy,strict_faces,1.087587938406568,-0.022611145777645274,0.626937594871343,0.16751915284768168,0.4197496528131418
1702,4,direct,electron_internal_energy,separatrix,0.8919570726707444,-0.8238896713376197,0.14003937354878124,-0.0872017500529376,0.0
1702,4,direct,ion_internal_energy,strict_faces,1.0770496463404888,-0.019594716764154838,0.6024544202394022,0.16826996077345885,0.4215134297583738
1702,4,direct,ion_internal_energy,separatrix,0.8531363722792644,-0.7849850996370757,0.16899124317547337,-0.06988594225963723,0.0
1702,4,direct,total_internal_energy,strict_faces,1.0820650053809155,-0.021102987060581172,0.6145809328442511,0.1681495082411722,0.4206874959063735
1702,4,direct,total_internal_energy,separatrix,0.8738939991860736,-0.8072408882704598,0.151222714227949,-0.08994513575846827,0.0
1703,4,direct,particle,strict_faces,1.0725057472181942,-0.011434723062127899,0.5863326032071127,0.16493889676188223,0.4242556676684363
1703,4,direct,particle,separatrix,0.7916903458104034,-0.7227600565380361,0.24051701838615694,0.11537139509510227,0.0
1703,4,direct,electron_internal_energy,strict_faces,1.0879722520108819,-0.021514577338206473,0.6168462430026528,0.15935824219136083,0.42157406650496215
1703,4,direct,electron_internal_energy,separatrix,0.8070460589509236,-0.7411775812137821,0.2250892178320855,0.23718353627506233,0.0
1703,4,direct,ion_internal_energy,strict_faces,1.0788356138301154,-0.018647507588609526,0.6000911880750777,0.16331861702554612,0.4226310043851529
1703,4,direct,ion_internal_energy,separatrix,0.7708600479291272,-0.7055157682390147,0.26045020183010076,0.3049433176557237,0.0
1703,4,direct,total_internal_energy,strict_faces,1.0831320810782255,-0.020081162044650634,0.6083912621594428,0.16169656112218694,0.4221374066697574
1703,4,direct,total_internal_energy,separatrix,0.7895931739834998,-0.7258997722975379,0.23968259423960947,0.28361480954494367,0.0
baseline,8,persistence,particle,strict_faces,1.411726017330436,-0.0001716211935497593,0.9849455201668368,-0.011843245514095761,0.5037264116363065
baseline,8,persistence,particle,separatrix,0.4507375678919419,-0.01683667239124062,0.9815177582079013,0.011597537559835058,0.0
baseline,8,persistence,electron_internal_energy,strict_faces,1.4063426847237184,-0.0006513566568079169,0.9825070862158904,-0.007067609103881021,0.5040094398521712
baseline,8,persistence,electron_internal_energy,separatrix,0.44541498503086413,-0.025569967766522754,0.9712807525546648,0.06320902083941599,0.0
baseline,8,persistence,ion_internal_energy,strict_faces,1.4086342016848177,-0.0003473767805955907,0.9833880161804017,-0.009336971942438247,0.5042633214245317
baseline,8,persistence,ion_internal_energy,separatrix,0.4580373843342677,-0.01835129649528596,0.979564471104217,0.01345342364058605,0.0
baseline,8,persistence,total_internal_energy,strict_faces,1.4076174677668807,-0.0004946860971037193,0.9829557025180666,-0.008378709661883846,0.504145691511923
baseline,8,persistence,total_internal_energy,separatrix,0.44723455504060294,-0.022323151946687884,0.9751053278162922,0.03881352864727942,0.0
1701,8,autoregressive_lead1,particle,strict_faces,1.484024100184275,-8.407557669183529e-05,1.1699191198296228,0.07092069411112165,0.46679369285051614
1701,8,autoregressive_lead1,particle,separatrix,0.4098285439402332,-0.02347528403238703,0.9555439560562815,-0.0010420787454724011,0.0
1701,8,autoregressive_lead1,electron_internal_energy,strict_faces,1.4816105366701358,-0.00031936302509228873,1.1791685522863216,0.08224894330638938,0.4634431433087588
1701,8,autoregressive_lead1,electron_internal_energy,separatrix,0.3958514488220577,-0.07506166308792762,0.8872212176677892,-0.06469956912915742,0.0
1701,8,autoregressive_lead1,ion_internal_energy,strict_faces,1.4826846232435646,-0.0022235615442653526,1.1728244933932477,0.07511026572906306,0.465751353282897
1701,8,autoregressive_lead1,ion_internal_energy,separatrix,0.39035928741657244,0.014007378077146608,0.981724337510694,0.024085461529251256,0.0
1701,8,autoregressive_lead1,total_internal_energy,strict_faces,1.4819890411248557,-0.0013134664677106305,1.1757474262696332,0.07865443974467552,0.46465924578321066
1701,8,autoregressive_lead1,total_internal_energy,separatrix,0.3848342450176826,-0.034710447123958564,0.9299550565112996,-0.020978115975178374,0.0
1702,8,autoregressive_lead1,particle,strict_faces,1.3442975829243726,-0.0022730153837741953,1.0231683852047415,0.11697936705511311,0.4472865573659232
1702,8,autoregressive_lead1,particle,separatrix,0.3950658531165681,-0.25750803174770226,0.7250445855363478,0.4550015294539206,0.0
1702,8,autoregressive_lead1,electron_internal_energy,strict_faces,1.3494187337590118,-0.004963759131209705,1.0351098460284751,0.12051795833245872,0.4460262139574284
1702,8,autoregressive_lead1,electron_internal_energy,separatrix,0.3946813327440696,-0.2500296631424058,0.7333168744937748,0.46589659561566854,0.0
1702,8,autoregressive_lead1,ion_internal_energy,strict_faces,1.3464286794853944,-0.006434929593707243,1.028790175346205,0.11896850549836581,0.44662367929693403
1702,8,autoregressive_lead1,ion_internal_energy,separatrix,0.37804556589596355,-0.20254546301610998,0.7839259732071054,0.4294494784806889,0.0
1702,8,autoregressive_lead1,total_internal_energy,strict_faces,1.3475690403540177,-0.005745395291223169,1.0315007312793942,0.11981038685737948,0.4463173619058599
1702,8,autoregressive_lead1,total_internal_energy,separatrix,0.3802989652620369,-0.22877081101390342,0.7555932216506412,0.46453497378210595,0.0
1703,8,autoregressive_lead1,particle,strict_faces,1.3837112883108613,0.000327201249602978,1.0814541767038073,0.11764555217366954,0.4462317622403811
1703,8,autoregressive_lead1,particle,separatrix,0.34362756979251824,-0.09660358991353446,0.8844610068693497,0.3579434954997159,0.0
1703,8,autoregressive_lead1,electron_internal_energy,strict_faces,1.3718585448182496,0.0007767609215944509,1.0708630687202627,0.1230122110770591,0.44402310769866415
1703,8,autoregressive_lead1,electron_internal_energy,separatrix,0.33436974095171434,-0.03577610951393865,0.9430594477521783,0.38332124761184405,0.0
1703,8,autoregressive_lead1,ion_internal_energy,strict_faces,1.3828309100265714,-0.00169122117019204,1.0831695077642387,0.12005397284836349,0.44528950138237966
1703,8,autoregressive_lead1,ion_internal_energy,separatrix,0.3470053877943934,0.003670948631791671,0.9858947506241116,0.350331634043326,0.0
1703,8,autoregressive_lead1,total_internal_energy,strict_faces,1.377590163480287,-0.0005082380205152111,1.077519593467113,0.12165638574963071,0.4446922211972263
1703,8,autoregressive_lead1,total_internal_energy,separatrix,0.33042447522912277,-0.017908341729714044,0.9617583492646518,0.383911738011287,0.0
